Senaryo,Model,Accuracy,Precision,Recall,F1,ROC-AUC
duration dahil,Logistic Regression,0.8645236476643683,0.44989339019189767,0.9094827586206896,0.6019971469329529,0.9431286395217626
duration dahil,Decision Tree,0.84519763037778,0.4147682639434407,0.9103448275862069,0.5698866702644361,0.9208502375713752
duration dahil,Random Forest,0.8675342332718268,0.45659574468085107,0.925,0.6113960113960114,0.9494306023632597
duration dahil,MLP,0.9147324463435952,0.6496815286624203,0.5275862068965518,0.582302568981922,0.9471671642016357
duration hariç,Logistic Regression,0.8346120229192969,0.36671575846833576,0.6439655172413793,0.4673131060369096,0.8046835432289328
duration hariç,Decision Tree,0.8223754491599495,0.34391040597293515,0.6353448275862069,0.4462609748713291,0.7726186724685157
duration hariç,Random Forest,0.8640380693405847,0.4297423887587822,0.6327586206896552,0.5118549511854951,0.8164479494137138
duration hariç,MLP,0.8998737496358162,0.6469248291571754,0.24482758620689654,0.35522201375859913,0.8082957037132086
